City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,alofi,-19.0595,-169.9187,22.94,25,100,2.06,NU,1675480154
148,swellendam,-34.0226,20.4417,18.71,77,0,0.59,ZA,1675480155
149,lorengau,-2.0226,147.2712,28.37,71,98,1.33,PG,1675480155
150,bengkulu,-3.8004,102.2655,27.55,70,100,2.83,ID,1675479892
151,kuching,1.55,110.3333,27.27,81,40,1.54,MY,1675479905
152,plettenberg bay,-34.0527,23.3716,19.21,89,0,1.65,ZA,1675480155
153,lompoc,34.6391,-120.4579,13.08,83,0,6.26,US,1675480156
154,jamestown,42.097,-79.2353,-10.23,60,100,8.23,US,1675480156
155,warmbad,-28.45,18.7333,23.83,34,11,2.18,NA,1675480156
156,vestmanna,62.1564,-7.1664,7.51,100,100,6.69,FO,1675480157
157,fort nelson,58.8053,-122.7002,-17.81,86,93,0.64,CA,1675480158
158,ugoofaaru,5.6667,73.0,26.56,76,91,1.71,MV,1675480158
159,mandalgovi,45.7625,106.2708,-8.7,35,13,6.24,MN,1675480091
160,fortuna,40.5982,-124.1573,10.92,82,0,3.09,US,1675480158
161,bagaha,27.1,84.0833,14.5,62,8,1.53,IN,1675480159
162,yulara,-25.2406,130.9889,26.08,26,0,4.73,AU,1675480159
163,nanjangud,12.1197,76.6828,21.86,73,100,2.93,IN,1675480160
164,talakan,50.3167,130.3667,-17.4,89,100,0.23,RU,1675480160
165,pangnirtung,66.1451,-65.7125,-35.48,89,100,0.67,CA,1675480160
166,chimore,-16.9833,-65.1333,21.59,99,100,0.32,BO,1675480161
167,nyurba,63.2842,118.3319,-29.93,95,100,1.35,RU,1675480161
168,tessalit,20.1986,1.0114,12.07,22,66,4.62,ML,1675480161
169,faya,18.3851,42.4509,10.29,65,98,2.43,SA,1675480162
170,csokmo,47.0333,21.3,3.31,86,91,4.71,HU,1675480162
171,pisco,-13.7,-76.2167,22.03,94,100,2.06,PE,1675480162
172,cidreira,-30.1811,-50.2056,22.42,90,100,2.99,BR,1675480115
173,bluff,-46.6,168.3333,21.04,70,11,5.43,NZ,1675480163
174,muros,42.7762,-9.0603,9.06,68,0,2.25,ES,1675480163
175,luzhou,28.8724,105.4405,14.67,61,100,2.4,CN,1675480163
176,bintulu,3.1667,113.0333,26.57,83,100,0.73,MY,1675480164
177,lebu,-37.6167,-73.65,16.86,77,0,7.62,CL,1675480165
178,kapaa,22.0752,-159.319,24.99,91,100,7.2,US,1675480165
179,port hardy,50.6996,-127.4199,6.11,92,100,6.07,CA,1675480166
180,waddan,29.1614,16.139,9.61,57,75,5.08,LY,1675480167
181,tiksi,71.6872,128.8694,-34.96,100,98,0.48,RU,1675480167
182,bambanglipuro,-7.95,110.2833,27.18,80,100,5.57,ID,1675480168
183,port macquarie,-31.4333,152.9167,27.16,34,0,5.55,AU,1675480064
184,souillac,-20.5167,57.5167,25.52,85,63,4.12,MU,1675480168
185,saint-philippe,-21.3585,55.7679,24.77,88,49,4.35,RE,1675479880
186,kologriv,58.8275,44.3178,-5.35,97,98,2.11,RU,1675480168
187,plouzane,48.3833,-4.6167,7.18,76,100,1.03,FR,1675480169
188,mount isa,-20.7333,139.5,29.87,23,2,6.17,AU,1675480169
189,mentougou,39.9392,116.0917,2.52,22,0,0.27,CN,1675480170
190,jiaozuo,35.2397,113.2331,7.25,34,71,2.13,CN,1675480170
191,bayir,37.2687,28.2167,-2.71,90,17,2.03,TR,1675480171
192,akureyri,65.6835,-18.0878,-2.86,70,26,7.08,IS,1675480171
193,venice,27.0998,-82.4543,16.66,84,20,5.14,US,1675480016
194,krasnoselkup,65.7,82.4667,-11.62,97,100,2.17,RU,1675480172
195,palu,-0.8917,119.8707,28.44,73,100,0.5,ID,1675480172
196,hithadhoo,-0.6,73.0833,27.58,69,96,7.75,MV,1675480173
197,araceli,10.5529,119.9913,26.26,82,98,10.13,PH,1675480173
198,kieta,-6.2167,155.6333,28.93,77,100,2.77,PG,1675480173
199,sembakung,3.8167,117.25,29.34,66,100,1.14,ID,1675480174
200,half moon bay,37.4636,-122.4286,12.25,95,100,1.54,US,1675480174
201,constitucion,-35.3333,-72.4167,15.25,95,20,4.16,CL,1675480174
202,the valley,18.217,-63.0578,25.61,75,7,7.89,AI,1675480175
203,byron bay,-28.65,153.6167,28.3,69,100,3.69,AU,1675480176
204,luderitz,-26.6481,15.1594,16.52,83,89,5.06,NA,1675480176
205,san cristobal,7.7669,-72.225,19.1,63,3,0.73,VE,1675480102
206,high level,58.5169,-117.136,-19.85,99,71,1.43,CA,1675480176
207,provideniya,64.3833,-173.3,-23.5,90,43,5.44,RU,1675480177
208,amahai,-3.3333,128.9167,29.13,66,94,1.57,ID,1675480177
209,aswan,24.0934,32.907,11.4,43,7,5.03,EG,1675480177
210,andenes,69.3143,16.1194,0.99,86,40,7.72,NO,1675480178
211,carnarvon,-24.8667,113.6333,29.17,62,32,3.93,AU,1675480178
212,gimli,50.6336,-96.9907,-16.99,71,94,11.32,CA,1675479908
213,yumen,40.2833,97.2,-4.35,38,97,0.89,CN,1675480178
214,makaryev,57.8797,43.8069,-3.91,96,100,2.75,RU,1675480179
215,anadyr,64.75,177.4833,-29.75,97,7,1.96,RU,1675480179
216,langsa,4.4683,97.9683,27.08,85,68,0.24,ID,1675480180
217,nokaneng,-19.6667,22.2667,20.88,88,100,1.22,BW,1675480180
218,ureki,41.9956,41.7786,3.98,62,99,3.1,GE,1675480181
219,qaanaaq,77.484,-69.3632,-20.0,62,33,3.32,GL,1675480181
220,kota kinabalu,5.9749,116.0724,28.99,74,20,1.54,MY,1675480181
221,saint-joseph,-21.3667,55.6167,24.21,85,53,4.9,RE,1675480182
222,dunedin,-45.8742,170.5036,23.74,63,3,5.7,NZ,1675480004
223,petropavlovsk-kamchatskiy,53.0452,158.6483,-6.67,53,0,4.0,RU,1675480064
224,otavi,-19.65,17.3333,19.22,88,100,1.92,NA,1675480182
225,san vicente,-26.6167,-54.1333,17.63,99,100,0.33,AR,1675480182
226,sagone,42.1155,8.6969,12.26,75,99,4.75,FR,1675480183
227,ruyigi,-3.45,30.3167,13.63,91,95,1.56,BI,1675480183
228,miri,4.4148,114.0089,27.44,77,73,0.24,MY,1675480183
229,yichun,47.7,128.9,-14.44,75,71,1.04,CN,1675480184
230,naryan-mar,67.6713,53.087,-16.02,100,78,3.29,RU,1675480184
231,corum,40.5,34.75,-3.48,98,100,1.12,TR,1675480185
232,alta floresta,-9.8756,-56.0861,21.62,96,87,0.48,BR,1675480185
233,rehoboth,-23.3167,17.0833,23.04,46,98,1.87,NA,1675480186
234,vacaville,38.3566,-121.9877,11.34,83,100,0.0,US,1675480186
235,aranos,-24.1333,19.1167,24.44,55,100,2.03,NA,1675480186
236,kalashnikovo,57.2824,35.2262,-11.79,99,97,1.62,RU,1675480186
237,sidi ali,36.0998,0.4206,8.57,86,16,3.14,DZ,1675480187
238,hamilton,39.1834,-84.5333,-6.42,65,20,2.06,US,1675480187
239,bambous virieux,-20.3428,57.7575,25.12,81,61,3.65,MU,1675480188
240,port blair,11.6667,92.75,27.65,72,17,4.54,IN,1675479947
241,andros town,24.7,-77.7667,22.98,70,9,1.66,BS,1675480188
242,mizan teferi,6.9833,35.5833,17.56,53,18,1.06,ET,1675480189
243,visby,57.6409,18.296,-0.88,74,100,9.26,SE,1675480189
244,longyearbyen,78.2186,15.6401,-14.09,61,0,3.6,SJ,1675480189
245,baft,29.234,56.6057,1.86,84,8,1.84,IR,1675480190
246,balad,34.0164,44.1453,8.1,55,20,3.28,IQ,1675480190
247,nocupetaro,19.05,-101.15,23.77,36,1,2.49,MX,1675480190
248,narsaq,60.9167,-46.05,-11.88,72,6,2.6,GL,1675480191
249,salvador,13.8333,-88.9167,23.92,56,73,1.81,SV,1675480076
250,cockburn town,21.4612,-71.1419,25.24,77,8,7.22,TC,1675480138
251,kamenka,51.3223,42.7678,-6.05,96,100,2.86,RU,1675480191
252,laredo,27.5064,-99.5075,10.16,66,0,3.09,US,1675480034
253,kingaroy,-26.5333,151.8333,15.72,94,100,2.28,AU,1675480192
254,verkhoshizhemye,58.011,49.1038,-6.54,97,100,1.6,RU,1675480192
